L1,L2-3,L4,L5,L6,genes
0.00021445,0.00021114,0.00026963,0.0002217,0.00026134,Chka
0.00022031,0.00011478,8.4592e-05,8.1586e-05,0.0001955,Gpr37
0.00064305,0.0010359,0.00084536,0.00073875,0.00051871,Igfbp2
0.0015148,0.0020391,0.0017699,0.0016584,0.0013447,Btbd17
4.5648e-05,6.6682e-05,4.5402e-05,3.2269e-05,5.5433e-05,Mrpl57
0.00032821,0.00037362,0.00038961,0.00021883,0.00037565,Gpr146
0.00010072,0.00019931,0.00012867,0.00010985,9.4551e-05,9030624J02Rik
0.00077606,0.00101,0.00087425,0.00078886,0.00060166,Atp1b1
0.00029266,0.0011047,0.00078329,0.00041895,0.00018155,Chrdl1
5.4304e-05,6.4686e-05,6.3095e-05,0.00011258,6.3689e-05,Sesn3
0.0093154,0.0095961,0.0094126,0.0094084,0.0082227,Gpr37l1
6.2938e-05,0.00011261,0.00017908,9.6319e-05,5.9308e-05,Gpatch8
6.1848e-05,6.7123e-05,8.2008e-05,3.9763e-05,6.1235e-05,Pi4ka
3.1593e-05,3.0899e-05,5.5607e-05,4.1735e-05,3.8642e-05,Nrarp
7.0554e-05,0.00012679,0.00014926,9.9246e-05,6.6203e-05,Nupr1
1.0703e-05,1.6377e-05,2.1511e-05,1.3192e-05,1.3998e-05,Lppos
2.1311e-05,3.9531e-05,3.7814e-05,3.5752e-05,3.1964e-05,Rsl24d1
0.00012315,0.00016609,0.00018424,0.00016758,0.00018051,Gas6
0.0011679,0.00090175,0.00077488,0.0010883,0.0012511,Scd2
0.011974,0.010786,0.010032,0.0094128,0.01135,Cst3
1.559e-05,1.8277e-05,3.9181e-05,2.4111e-05,2.7197e-05,Polr2j
0.00050147,0.00060791,0.00064433,0.00046619,0.00039733,Chst2
3.9588e-05,3.3615e-05,3.7296e-05,5.8668e-05,4.9596e-05,Psenen
0.00010071,4.1893e-05,8.888e-05,0.00010326,0.00014705,Slc6a9
9.8073e-05,7.6342e-05,0.00013462,0.00013699,8.2787e-05,Brinp3
0.0003292,0.00038849,0.00031887,0.00033304,0.00025637,Dhrs7
7.8627e-05,7.2351e-05,8.3872e-05,0.00013417,0.00019403,Slc30a5
6.368e-05,8.6485e-05,0.00017073,0.0001712,8.9827e-05,Farsb
5.2168e-05,0.00010333,6.9364e-05,4.3107e-05,8.889e-05,Sike1
3.722e-06,9.4326e-06,1.3975e-05,5.2312e-06,4.6981e-06,3000002C10Rik
0.00025195,0.00011314,0.00016309,0.00026424,0.0004008,Agt
0.00020211,7.2855e-05,7.9859e-05,5.9378e-05,0.00024061,Gfap
2.1203e-05,4.4813e-05,4.6242e-05,6.6892e-05,2.7954e-05,Gfer
9.2674e-05,0.00076397,0.00079733,0.0004652,0.00015253,Eogt
4.7175e-07,8.1414e-07,6.6394e-07,6.3641e-07,6.8606e-07,Rpl6l
7.4535e-07,7.0528e-07,8.0747e-07,9.3373e-07,1.0242e-06,Gm10313
6.9748e-05,0.00010867,5.9769e-05,6.6518e-05,0.00012246,Pycrl
4.8696e-05,8.4397e-05,5.4795e-05,5.2632e-05,5.0167e-05,Utp11l
0.00056137,0.00045128,0.00051742,0.00053614,0.00064039,Dbi
1.137e-05,1.5995e-05,2.5058e-05,1.8321e-05,1.0928e-05,Akt2-ps
0.00054904,0.00065959,0.00081496,0.00071455,0.00072527,Ngef
0.0005716,0.00061536,0.00079827,0.0007969,0.00066315,Rab31
6.7504e-05,0.00010015,6.7417e-05,7.8739e-05,4.8924e-05,Rab4a
